02000000-22000000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
42000000-52000000 rw-p 00000000 00:00 0                                  [anon:dalvik-free list large object space]
62000000-64000000 r--s 00000000 00:06 14215                              /memfd:jit-zygote-cache (deleted)
64000000-66000000 r-xs 02000000 00:06 14215                              /memfd:jit-zygote-cache (deleted)
66000000-68000000 r--s 00000000 00:06 1448365                            /memfd:jit-cache (deleted)
68000000-6a000000 r-xs 02000000 00:06 1448365                            /memfd:jit-cache (deleted)
6a000000-6a106000 rw-p 00000000 00:00 0                                  [anon:dalvik-/data/app/~~Qt-6Tew3BGheestJeaSMuw==/com.AgainstGravity.RecRoom-5E9uVm4Mor4x1F7TXb5A9g==/oat/arm64/base.art]
6fddd000-700b2000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot.art]
700b2000-700fb000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-core-libart.art]
700fb000-70125000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-okhttp.art]
70125000-70169000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-bouncycastle.art]
70169000-7016a000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-apache-xml.art]
7016a000-70f00000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-framework.art]
70f00000-70f01000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-framework-graphics.art]
70f01000-70f02000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-framework-location.art]
70f02000-70f04000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-framework-connectivity-b.art]
70f04000-70f33000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-ext.art]
70f33000-71089000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-telephony-common.art]
71089000-71130000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-voip-common.art]
71130000-71179000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-ims-common.art]
71179000-7117b000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-framework-platformcrashrecovery.art]
7117b000-7117c000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-framework-ondeviceintelligence-platform.art]
7117c000-71305000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-core-icu4j.art]
71305000-7139d000 r--p 00000000 fd:00 1346                               /system/framework/arm64/boot.oat
7139d000-71600000 r-xp 00098000 fd:00 1346                               /system/framework/arm64/boot.oat
71600000-71601000 rw-p 00000000 00:00 0                                  [anon:.bss]
71601000-7161d000 rw-p 00000000 fd:00 1365                               /system/framework/boot.vdex
7161d000-7161e000 r--p 002fb000 fd:00 1346                               /system/framework/arm64/boot.oat
7161e000-7161f000 rw-p 002fc000 fd:00 1346                               /system/framework/arm64/boot.oat
7161f000-7162e000 r--p 00000000 fd:00 1307                               /system/framework/arm64/boot-core-libart.oat
7162e000-7166e000 r-xp 0000f000 fd:00 1307                               /system/framework/arm64/boot-core-libart.oat
7166e000-7166f000 rw-p 00000000 00:00 0                                  [anon:.bss]
7166f000-71673000 rw-p 00000000 fd:00 1352                               /system/framework/boot-core-libart.vdex
71673000-71674000 r--p 0004f000 fd:00 1307                               /system/framework/arm64/boot-core-libart.oat
71674000-71675000 rw-p 00050000 fd:00 1307                               /system/framework/arm64/boot-core-libart.oat
71675000-71683000 r--p 00000000 fd:00 1337                               /system/framework/arm64/boot-okhttp.oat
71683000-716b5000 r-xp 0000e000 fd:00 1337                               /system/framework/arm64/boot-okhttp.oat
716b5000-716b6000 rw-p 00000000 00:00 0                                  [anon:.bss]
716b6000-716b8000 rw-p 00000000 fd:00 1362                               /system/framework/boot-okhttp.vdex
716b8000-716b9000 r--p 00040000 fd:00 1337                               /system/framework/arm64/boot-okhttp.oat
716b9000-716ba000 rw-p 00041000 fd:00 1337                               /system/framework/arm64/boot-okhttp.oat
716ba000-716c1000 r--p 00000000 fd:00 1301                               /system/framework/arm64/boot-bouncycastle.oat
716c1000-716d0000 r-xp 00007000 fd:00 1301                               /system/framework/arm64/boot-bouncycastle.oat
716d0000-716d1000 rw-p 00000000 00:00 0                                  [anon:.bss]
716d1000-716da000 rw-p 00000000 fd:00 1350                               /system/framework/boot-bouncycastle.vdex
716da000-716db000 r--p 00016000 fd:00 1301                               /system/framework/arm64/boot-bouncycastle.oat
716db000-716dc000 rw-p 00017000 fd:00 1301                               /system/framework/arm64/boot-bouncycastle.oat
716dc000-716df000 r--p 00000000 fd:00 1298                               /system/framework/arm64/boot-apache-xml.oat
716df000-716e4000 rw-p 00000000 fd:00 1349                               /system/framework/boot-apache-xml.vdex
716e4000-716e5000 r--p 00003000 fd:00 1298                               /system/framework/arm64/boot-apache-xml.oat
716e5000-716e6000 rw-p 00004000 fd:00 1298                               /system/framework/arm64/boot-apache-xml.oat
716e6000-718bd000 r--p 00000000 fd:00 1331                               /system/framework/arm64/boot-framework.oat
718bd000-71f4d000 r-xp 001d7000 fd:00 1331                               /system/framework/arm64/boot-framework.oat
71f4d000-71f4e000 rw-p 00000000 00:00 0                                  [anon:.bss]
71f4e000-71ff8000 rw-p 00000000 fd:00 1360                               /system/framework/boot-framework.vdex
71ff8000-71ff9000 r--p 00867000 fd:00 1331                               /system/framework/arm64/boot-framework.oat
71ff9000-71ffa000 rw-p 00868000 fd:00 1331                               /system/framework/arm64/boot-framework.oat
71ffa000-71ffc000 r--p 00000000 fd:00 1319                               /system/framework/arm64/boot-framework-graphics.oat
71ffc000-71ffd000 rw-p 00000000 fd:00 1356                               /system/framework/boot-framework-graphics.vdex
71ffd000-71ffe000 r--p 00002000 fd:00 1319                               /system/framework/arm64/boot-framework-graphics.oat
